title	award	discount	description	exceptions
Fitness Eauioment	021.18.2.PC.01.7543	10		
Track & Field	021.18.2.PC.01.7543	10		
Activity Balls	021.18.2.PC.01.7542	32		
Archery	021.18.2.PC.01.7542	32		
Badminton	021.18.2.PC.01.7542	32		
Basketball	021.18.2.PC.01.7542	32		
Bowling	021.18.2.PC.01.7542	32		
Equipment Carriers	021.18.2.PC.01.7542	32		
Fencing	021.18.2.PC.01.7542	32		
Fitness Equipment	021.18.2.PC.01.7542	32		
Fitness Tracking Devices	021.18.2.PC.01.7542	32		
Frisbee (Ultimate)	021.18.2.PC.01.7542	32		
Football	021.18.2.PC.01.7542	32		
Golf	021.18.2.PC.01.7542	32		
Gymnastic/Tumbling	021.18.2.PC.01.7542	32		
"Hockey, Field"	021.18.2.PC.01.7542	32		
"Hockey, Floor"	021.18.2.PC.01.7542	32		
Lacrosse	021.18.2.PC.01.7542	32		
Pickle Ball	021.18.2.PC.01.7542	32		
Recreational Games Rhythms & Dance	021.18.2.PC.01.7542	32		
Scooters	021.18.2.PC.01.7542	32		
Soccer	021.18.2.PC.01.7542	32		
Softball/VViffleball	021.18.2.PC.01.7542	32		
Table Tennis	021.18.2.PC.01.7542	32		
Tchoukball	021.18.2.PC.01.7542	32		
Teaching Aids	021.18.2.PC.01.7542	32		
Team Handball/Handball	021.18.2.PC.01.7542	32		
Tennis	021.18.2.PC.01.7542	32		
Track & Field	021.18.2.PC.01.7542	32		
Volleyball	021.18.2.PC.01.7542	32		
Miscellaneous	021.18.2.PC.01.7542	32		
Activity Balls	021.18.2.PC.01.7546	18		
Archery	021.18.2.PC.01.7546	18		
Badminton	021.18.2.PC.01.7546	18		
Basketball	021.18.2.PC.01.7546	18		
Bowling	021.18.2.PC.01.7546	18		
Equipment Carriers	021.18.2.PC.01.7546	18		
Fencing	021.18.2.PC.01.7546	18		
Fitness Equipment	021.18.2.PC.01.7546	18		
Fitness Tracking Devices	021.18.2.PC.01.7546	18		
Frisbee (Ultimate)	021.18.2.PC.01.7546	18		
Football	021.18.2.PC.01.7546	18		
Golf	021.18.2.PC.01.7546	18		
Gymnastic/Tumbling	021.18.2.PC.01.7546	18		
"Hockey, Field"	021.18.2.PC.01.7546	18		
"Hockey, Floor"	021.18.2.PC.01.7546	18		
Lacrosse	021.18.2.PC.01.7546	18		
Pickle Ball	021.18.2.PC.01.7546	18		
Recreational Games Rhythms & Dance	021.18.2.PC.01.7546	18		
Scooters	021.18.2.PC.01.7546	18		
Soccer	021.18.2.PC.01.7546	18		
Softball/VViffleball	021.18.2.PC.01.7546	18		
Table Tennis	021.18.2.PC.01.7546	18		
Tchoukball	021.18.2.PC.01.7546	18		
Teaching Aids	021.18.2.PC.01.7546	18		
Team Handball/Handball	021.18.2.PC.01.7546	18		
Tennis	021.18.2.PC.01.7546	18		
Track & Field	021.18.2.PC.01.7546	18		
Volleyball	021.18.2.PC.01.7546	18		
Miscellaneous	021.18.2.PC.01.7546	18		
Activity Balls	021.18.2.PC.01.7545	20		
Archery	021.18.2.PC.01.7545	20		
Badminton	021.18.2.PC.01.7545	20		
Basketball	021.18.2.PC.01.7545	20		
Bowling	021.18.2.PC.01.7545	20		
Equipment Carriers	021.18.2.PC.01.7545	20		
Fitness Equipment	021.18.2.PC.01.7545	20		
Frisbee (Ultimate)	021.18.2.PC.01.7545	20		
Football	021.18.2.PC.01.7545	20		
Golf	021.18.2.PC.01.7545	20		
Gymnastic/Tumbling	021.18.2.PC.01.7545	20		
"Hockey, Floor"	021.18.2.PC.01.7545	20		
Lacrosse	021.18.2.PC.01.7545	20		
Pickle Ball	021.18.2.PC.01.7545	20		
Recreational Games Rhythms & Dance	021.18.2.PC.01.7545	20		
Scooters	021.18.2.PC.01.7545	20		
Soccer	021.18.2.PC.01.7545	20		
Softball/VViffleball	021.18.2.PC.01.7545	20		
Table Tennis	021.18.2.PC.01.7545	20		
Tchoukball	021.18.2.PC.01.7545	20		
Teaching Aids	021.18.2.PC.01.7545	20		
Team Handball/Handball	021.18.2.PC.01.7545	20		
Tennis	021.18.2.PC.01.7545	20		
Volleyball	021.18.2.PC.01.7545	20		
Miscellaneous	021.18.2.PC.01.7545	20		
Activity Balls	021.18.2.PC.01.7541	10		
Archery	021.18.2.PC.01.7541	10		
Badminton	021.18.2.PC.01.7541	10		
Basketball	021.18.2.PC.01.7541	10		
Bowling	021.18.2.PC.01.7541	10		
Equipment Carriers	021.18.2.PC.01.7541	10		
Fencing	021.18.2.PC.01.7541	10		
Fitness Equipment	021.18.2.PC.01.7541	10		
Fitness Tracking Devices	021.18.2.PC.01.7541	10		
Frisbee (Ultimate)	021.18.2.PC.01.7541	10		
Football	021.18.2.PC.01.7541	10		
Golf	021.18.2.PC.01.7541	10		
Gymnastic/Tumbling	021.18.2.PC.01.7541	10		
"Hockey, Field"	021.18.2.PC.01.7541	10		
"Hockey, Floor"	021.18.2.PC.01.7541	10		
Lacrosse	021.18.2.PC.01.7541	10		
Pickle Ball	021.18.2.PC.01.7541	10		
Recreational Games Rhythms & Dance	021.18.2.PC.01.7541	10		
Scooters	021.18.2.PC.01.7541	10		
Soccer	021.18.2.PC.01.7541	10		
Softball/VViffleball	021.18.2.PC.01.7541	10		
Table Tennis	021.18.2.PC.01.7541	10		
Tchoukball	021.18.2.PC.01.7541	10		
Teaching Aids	021.18.2.PC.01.7541	10		
Team Handball/Handball	021.18.2.PC.01.7541	10		
Tennis	021.18.2.PC.01.7541	10		
Track & Field	021.18.2.PC.01.7541	10		
Volleyball	021.18.2.PC.01.7541	10		
Miscellaneous	021.18.2.PC.01.7541	10		
Activity Balls	021.18.2.PC.01.7544	25		
Archery	021.18.2.PC.01.7544	25		
Badminton	021.18.2.PC.01.7544	25		
Basketball	021.18.2.PC.01.7544	25		
Bowling	021.18.2.PC.01.7544	25		
Equipment Carriers	021.18.2.PC.01.7544	25		
Fencing	021.18.2.PC.01.7544	25		
Fitness Equipment	021.18.2.PC.01.7544	25		
Fitness Tracking Devices	021.18.2.PC.01.7544	25		
Frisbee (Ultimate)	021.18.2.PC.01.7544	25		
Football	021.18.2.PC.01.7544	25		
Golf	021.18.2.PC.01.7544	25		
Gymnastic/Tumbling	021.18.2.PC.01.7544	25		
"Hockey, Field"	021.18.2.PC.01.7544	25		
"Hockey, Floor"	021.18.2.PC.01.7544	25		
Lacrosse	021.18.2.PC.01.7544	25		
Pickle Ball	021.18.2.PC.01.7544	25		
Recreational Games Rhythms & Dance	021.18.2.PC.01.7544	25		
Scooters	021.18.2.PC.01.7544	25		
Soccer	021.18.2.PC.01.7544	25		
Softball/VViffleball	021.18.2.PC.01.7544	25		
Table Tennis	021.18.2.PC.01.7544	25		
Tchoukball	021.18.2.PC.01.7544	25		
Teaching Aids	021.18.2.PC.01.7544	25		
Team Handball/Handball	021.18.2.PC.01.7544	25		
Tennis	021.18.2.PC.01.7544	25		
Track & Field	021.18.2.PC.01.7544	25		
Volleyball	021.18.2.PC.01.7544	25		
Miscellaneous	021.18.2.PC.01.7544	25		